t,vx,wz
7.337,0.125,0.16
7.376,0.2463,0.32
7.436,0.2463,0.48
7.476,0.2463,0.64
7.526,0.26,0.8
7.586,0.2463,0.96
7.627,0.2189,1.0537
7.687,0.2189,1.0537
7.726,0.2326,1.0537
7.786,0.26,1.0537
7.826,0.26,1.0537
7.886,0.26,1.0537
7.927,0.26,1.0537
7.986,0.2463,1.0537
8.026,0.2463,1.0537
8.086,0.2189,0.8937
8.136,0.2053,0.8621
8.176,0.2189,0.8621
8.236,0.2053,0.8621
8.276,0.26,0.8621
8.337,0.26,0.8621
8.376,0.26,0.8621
8.436,0.26,0.7021
8.476,0.26,0.6705
8.537,0.26,0.8305
8.586,0.26,0.8621
8.626,0.2326,0.7021
8.686,0.26,0.6705
8.726,0.26,0.6705
8.786,0.26,0.6705
8.826,0.26,0.6705
8.886,0.26,0.5105
8.927,0.26,0.4789
8.986,0.2463,0.4789
9.026,0.2326,0.4789
9.087,0.26,0.4789
9.136,0.26,0.4789
9.176,0.26,0.4789
9.236,0.26,0.4789
9.276,0.2463,0.4789
9.336,0.2463,0.4789
9.377,0.2326,0.4789
9.436,0.2326,0.3189
9.486,0.26,0.2874
9.516,0.26,0.2874
9.586,0.26,0.2874
9.626,0.2326,0.1274
9.686,0.26,0.0958
9.726,0.2463,0.0958
9.786,0.2463,0.0958
9.827,0.2326,0.0958
9.886,0.26,0.0958
9.926,0.26,0.0958
9.987,0.2463,0.0958
10.026,0.2326,0.0958
10.087,0.26,0.0958
10.126,0.26,0.0958
10.188,0.2463,0.0958
10.226,0.2326,0.0
10.286,0.26,0.0
10.326,0.26,0.0
10.376,0.2463,0.0
10.438,0.2326,0.0
10.477,0.26,0.0958
10.536,0.26,0.0958
10.577,0.2463,0.0958
10.636,0.2463,0.0958
10.676,0.26,0.0
10.736,0.26,0.0
10.776,0.2463,0.0
10.826,0.2326,0.0
10.887,0.26,0.0
10.926,0.26,0.0
10.986,0.2463,0.0
11.026,0.2463,0.0
11.087,0.26,0.0
11.126,0.26,0.0
11.196,0.2463,0.0
11.237,0.2463,0.0
11.276,0.26,0.0
11.336,0.26,0.0
11.376,0.2463,0.0
11.436,0.2463,0.0
11.476,0.26,-0.0958
11.537,0.26,-0.0958
11.576,0.2463,-0.0958
11.636,0.2463,-0.0958
11.676,0.2326,-0.0958
11.737,0.2326,-0.0958
11.777,0.2189,-0.0958
11.816,0.2189,-0.0958
11.886,0.26,0.0
11.916,0.26,0.0
11.976,0.26,0.0
12.026,0.2463,0.0
