t,vx,wz
12.086,0.2326,0.0
12.126,0.26,0.0
12.186,0.26,0.0
12.226,0.2463,0.0
12.287,0.2326,-0.0958
12.326,0.26,0.0
12.387,0.26,0.0
12.426,0.2463,0.0
12.476,0.2326,0.0
12.536,0.2326,0.0
12.577,0.2326,0.0
12.636,0.2189,-0.0958
12.677,0.2189,0.0642
12.736,0.2053,0.0958
12.776,0.2053,0.0958
12.826,0.1916,0.0958
12.886,0.1916,0.0958
12.926,0.1779,0.0958
12.986,0.1779,0.0958
13.027,0.1642,0.0
13.087,0.1642,0.0
13.126,0.1642,0.0
13.187,0.1505,0.0
13.226,0.1505,0.0
13.286,0.1505,0.0
13.326,0.1505,0.0
13.386,0.1368,0.0
13.436,0.1368,0.0
13.477,0.1368,0.0
13.536,0.1232,0.0
13.576,0.0,-0.16
13.636,0.0,-0.32
13.676,0.0,-0.48
13.736,0.0,-0.64
13.777,0.0,-0.8
13.836,0.0,-0.8621
13.876,0.0,-0.8621
13.936,0.0,-0.8621
13.976,0.0,-0.8621
14.037,0.0,-0.7021
14.077,0.0,-0.6705
14.136,0.0,-0.6705
14.176,0.0,-0.6705
14.236,0.0,-0.6705
14.277,0.0,-0.6705
14.337,0.0,-0.6705
14.377,0.0,-0.6705
14.436,0.0,-0.6705
14.476,0.0,-0.6705
14.536,0.0,-0.5105
14.576,0.0,-0.4789
14.637,0.0,-0.4789
14.686,0.0,-0.4789
14.726,0.0,-0.4789
14.787,0.0,-0.4789
14.827,0.0,-0.4789
14.886,0.0,-0.4789
14.926,0.0,-0.4789
14.986,0.0,-0.4789
15.027,0.0,-0.4789
15.076,0.0,-0.4789
15.137,0.0,-0.4789
15.176,0.0,-0.4789
15.236,0.0,-0.3189
15.277,0.0,-0.2874
15.337,0.0,-0.2874
15.376,0.0,-0.2874
15.436,0.0,-0.2874
15.486,0.0,-0.2874
15.527,0.0,-0.2874
15.587,0.0,-0.2874
15.626,0.0,-0.2874
15.686,0.0,-0.2874
15.726,0.0,-0.2874
15.786,0.0,-0.2874
15.826,0.0,-0.2874
15.866,0.0,-0.2874
15.936,0.0,-0.2874
15.977,0.0,-0.2874
16.036,0.0,-0.2874
16.076,0.0,-0.2874
16.136,0.0,-0.2874
16.176,0.0,-0.2874
16.236,0.0,-0.2874
16.277,0.0,-0.2874
16.326,0.0,-0.1274
16.387,0.0,-0.0958
16.426,0.0,-0.0958
16.486,0.0,-0.0958
16.526,0.0,-0.0958
16.586,0.0,-0.0958
16.626,0.0,-0.0958
16.686,0.0,-0.0958
16.726,0.0,-0.0958
16.786,0.0,-0.0958
16.826,0.125,0.0642
16.886,0.2326,0.2242
16.926,0.2189,0.3842
16.986,0.0939,0.2242
17.026,0.0,0.0642
17.096,0.0,-0.0958
17.136,0.0,-0.0958
17.166,0.0,-0.0958
17.236,0.0,-0.0958
17.276,0.0,-0.0958
17.336,0.0,-0.0958
17.377,0.0,-0.0958
17.436,0.0,-0.0958
17.477,0.0,-0.0958
17.537,0.0,-0.0958
17.576,0.0,-0.0958
17.636,0.0,-0.0958
17.677,0.0,-0.0958
17.736,0.0,-0.0958
17.776,0.0,-0.0958
17.836,0.0,-0.0958
17.876,0.0,-0.0958
17.937,0.0,-0.0958
17.976,0.0,-0.0958
18.026,0.0,-0.0958
18.088,0.0,-0.0958
18.126,0.0,-0.0958
18.166,0.0,0.0
18.236,0.0,0.0
18.276,0.0,0.0
18.336,0.0,0.0
18.376,0.0,0.0
18.437,0.0,0.0
18.476,0.0,0.0
18.536,0.0,0.0
18.576,0.0,0.0
18.636,0.0,0.0
18.676,0.0,0.0
18.736,0.0,0.0
18.776,0.0,0.0
18.836,0.0,0.0
18.876,0.0,0.0
18.936,0.0,0.0
18.976,0.0,0.0
19.036,0.0,0.0
19.077,0.0,0.0
19.126,0.0,0.0
19.186,0.0,0.0
