t,vx,wz
18.496,0.26,0.8621
18.535,0.2463,0.8621
18.606,0.2463,0.8621
18.645,0.2053,0.7021
18.716,0.2053,0.6705
18.757,0.2053,0.6705
18.809,0.1916,0.6705
18.846,0.1916,0.6705
18.885,0.1916,0.6705
18.955,0.2189,0.6705
18.996,0.2189,0.6705
19.034,0.2189,0.6705
19.095,0.2189,0.6705
19.155,0.2053,0.6705
19.187,0.2053,0.6705
19.246,0.2053,0.6705
19.306,0.2053,0.6705
19.344,0.2189,0.6705
19.415,0.1916,0.6705
19.446,0.1505,0.5105
19.505,0.1505,0.4789
19.545,0.1505,0.4789
19.586,0.1505,0.4789
19.656,0.1368,0.4789
19.684,0.1642,0.4789
19.745,0.1642,0.4789
19.785,0.1642,0.4789
19.866,0.1642,0.4789
19.906,0.1642,0.4789
19.936,0.1505,0.4789
19.996,0.1505,0.4789
20.035,0.1505,0.4789
20.106,0.1505,0.4789
20.147,0.1505,0.4789
20.186,0.0255,0.3189
20.256,0.0,0.1589
20.296,0.0,-0.0011
20.324,0.0,-0.1611
20.404,0.0,-0.3211
20.425,0.0,-0.4811
20.497,0.0,-0.6411
20.566,0.0,-0.8011
20.607,0.0,-0.9611
20.635,0.0,-1.1211
20.718,0.0,-1.2811
20.755,0.0,-1.4368
20.797,0.0,-1.4368
20.834,0.0,-1.4368
20.896,0.0,-1.4368
20.967,0.0,-1.4368
21.007,0.0,-1.4368
21.034,0.0,-1.2768
21.106,0.0,-1.2453
21.145,0.0,-1.2453
21.186,0.0,-1.2453
21.246,0.0,-1.2453
21.288,0.0,-1.2453
21.355,0.0,-1.2453
21.385,0.0,-1.2453
21.445,0.0,-1.0853
21.485,0.0,-1.0537
21.546,0.0,-1.0537
21.585,0.0,-1.0537
21.657,0.0,-1.0537
21.686,0.0,-1.0537
21.744,0.0,-1.0537
21.815,0.0,-1.0537
21.856,0.0,-1.0537
21.895,0.0,-1.0537
21.936,0.0,-0.8937
21.975,0.0,-0.8621
22.055,0.0,-0.8621
22.095,0.0,-0.8621
22.134,0.0,-0.8621
22.196,0.0,-0.8621
22.235,0.0,-0.8621
22.308,0.0,-0.8621
22.347,0.0,-0.8621
22.386,0.0,-0.8621
22.438,0.0,-0.8621
22.508,0.0,-0.8621
22.546,0.0,-0.8621
22.617,0.0,-0.8621
22.656,0.0,-0.7021
22.695,0.0,-0.6705
22.736,0.0,-0.6705
22.786,0.0,-0.6705
22.825,0.0,-0.6705
22.895,0.0,-0.6705
22.955,0.0,-0.6705
22.984,0.0,-0.6705
23.048,0.0,-0.6705
23.096,0.0,-0.6705
23.134,0.0,-0.6705
23.195,0.0,-0.6705
23.256,0.0,-0.6705
23.285,0.0,-0.6705
23.345,0.0,-0.6705
23.406,0.0,-0.6705
23.446,0.0,-0.5105
23.517,0.0,-0.6705
23.566,0.0,-0.6705
23.595,0.0,-0.5105
23.636,0.0,-0.4789
23.717,0.0,-0.4789
23.755,0.0,-0.4789
23.795,0.0,-0.4789
23.834,0.0,-0.4789
23.916,0.0,-0.4789
23.945,0.0,-0.4789
23.994,0.0,-0.4789
24.055,0.0,-0.4789
24.085,0.0,-0.4789
24.157,0.0,-0.4789
24.196,0.0,-0.4789
24.234,0.0,-0.4789
24.295,0.0,-0.4789
24.327,0.0,-0.4789
24.396,0.0,-0.4789
24.457,0.0,-0.4789
24.506,0.0,-0.4789
24.545,0.0,-0.4789
24.594,0.0,-0.4789
24.655,0.0,-0.4789
24.695,0.0,-0.4789
24.735,0.0,-0.3189
24.795,0.0,-0.2874
24.835,0.0,-0.2874
24.917,0.0,-0.2874
24.947,0.0,-0.2874
24.984,0.0,-0.2874
25.045,0.0,-0.2874
25.076,0.0,-0.2874
25.145,0.0,-0.2874
25.185,0.0,-0.2874
25.267,0.0,-0.2874
25.306,0.0137,-0.4474
25.334,0.0137,-0.6074
25.395,0.0137,-0.7674
25.423,0.0,-0.9274
25.496,0.0,-1.0874
25.535,0.0,-1.2474
25.594,0.0,-1.4074
25.655,0.0,-1.5674
25.697,0.0,-1.7274
25.737,0.125,-1.82
25.806,0.2463,-1.82
25.845,0.2326,-1.82
25.884,0.2326,-1.82
25.956,0.1368,-1.82
25.996,0.2463,-1.82
26.035,0.2326,-1.82
26.096,0.2326,-1.82
26.157,0.2326,-1.82
26.196,0.2326,-1.82
26.235,0.2053,-1.66
26.316,0.26,-1.82
26.355,0.26,-1.82
26.385,0.26,-1.82
26.445,0.26,-1.82
26.485,0.2053,-1.66
26.536,0.26,-1.6284
26.585,0.2326,-1.6284
26.656,0.2189,-1.6284
26.686,0.2326,-1.6284
26.746,0.2326,-1.6284
26.785,0.26,-1.4684
26.865,0.2463,-1.6284
